       51.000000000        7.819539793       23.953245483      968.227214724
       52.000000000        7.730755488       21.758208206      970.511036306
       53.000000000        7.650982951       19.763488683      972.585528365
       54.000000000        7.579238697       17.950959065      974.469802239
       55.000000000        7.514658481       16.304103260      976.181238259
       56.000000000        7.456480854       14.807879192      977.735639954
       57.000000000        7.404033293       13.448591698      979.147375009
       58.000000000        7.356720472       12.213775508      980.429504020
       59.000000000        7.314014299       11.092087667      981.593898034
       60.000000000        7.275445406       10.073208824      982.651345770
       61.000000000        7.240595880        9.147752733      983.611651387
       62.000000000        7.209092997        8.307183406      984.483723597
       63.000000000        7.180603834        7.543739329      985.275656837
       64.000000000        7.154830599        6.850364193      985.994805208
       65.000000000        7.131506581        6.220643639      986.647849781
       66.000000000        7.110392621        5.648747521      987.240859858
       67.000000000        7.091274033        5.129377239      987.779348728
       68.000000000        7.073957907        4.657717717      988.268324376
       69.000000000        7.058270742        4.229393643      988.712335616
       70.000000000        7.044056361        3.840429598      989.115514041
       71.000000000        7.031174075        3.487213751      989.481612175
       72.000000000        7.019497057        3.166464800      989.814038142
       73.000000000        7.008910905        2.875201891      990.115887204
       74.000000000        6.999312359        2.610717237      990.389970404
       75.000000000        6.990608174        2.370551213      990.638840613
       76.000000000        6.982714100        2.152469702      990.864816198
       77.000000000        6.975553987        1.954443494      991.070002520
       78.000000000        6.969058971        1.774629551      991.256311478
       79.000000000        6.963166762        1.611353978      991.425479260
       80.000000000        6.957820991        1.463096538      991.579082470
       81.000000000        6.952970635        1.328476584      991.718552780
       82.000000000        6.948569496        1.206240265      991.845190239
       83.000000000        6.944575734        1.095248906      991.960175360
       84.000000000        6.940951447        0.994468448      992.064580106
       85.000000000        6.937662293        0.902959847      992.159377860
       86.000000000        6.934677152        0.819870364      992.245452484
       87.000000000        6.931967815        0.744425635      992.323606550
       88.000000000        6.929508711        0.675922481      992.394568808
       89.000000000        6.927276654        0.613722370      992.459000976
       90.000000000        6.925250621        0.557245479      992.517503900
       91.000000000        6.923411544        0.505965301      992.570623154
       92.000000000        6.921742132        0.459403749      992.618854120
       93.000000000        6.920226696        0.417126700      992.662646604
       94.000000000        6.918851008        0.378739961      992.702409031
       95.000000000        6.917602157        0.343885597      992.738512246
       96.000000000        6.916468429        0.312238595      992.771292975
       97.000000000        6.915439198        0.283503841      992.801056961
       98.000000000        6.914504817        0.257413369      992.828081814
       99.000000000        6.913656536        0.233723862      992.852619602
      100.000000000        6.912886412        0.212214393      992.874899195
      101.000000000        6.912187236        0.192684357      992.895128408
      102.000000000        6.911552466        0.174951606      992.913495927
      103.000000000        6.910976165        0.158850754      992.930173081
      104.000000000        6.910452943        0.144231628      992.945315429
      105.000000000        6.909977907        0.130957877      992.959064216
      106.000000000        6.909546618        0.118905692      992.971547690
      107.000000000        6.909155044        0.107962660      992.982882296
      108.000000000        6.908799527        0.098026709      992.993173764
      109.000000000        6.908476744        0.089005163      993.002518093
      110.000000000        6.908183680        0.080813871      993.011002449
      111.000000000        6.907917598        0.073376427      993.018705975
