    t          caso 1          caso 2          caso 3          caso 4          caso 5          caso 6
 8.600    0.1111794E+00    0.1114846E+00    0.1117169E+00    0.1118102E+00    0.1121968E+00    0.1123561E+00
 8.700    0.2457990E-01    0.2485606E-01    0.2506623E-01    0.2515063E-01    0.2550043E-01    0.2564462E-01
 8.800   -0.7136794E-01   -0.7111806E-01   -0.7092788E-01   -0.7085152E-01   -0.7053500E-01   -0.7040453E-01
 8.900   -0.1400191E+00   -0.1397930E+00   -0.1396209E+00   -0.1395518E+00   -0.1392654E+00   -0.1391474E+00
 9.000   -0.1551547E+00   -0.1549501E+00   -0.1547944E+00   -0.1547319E+00   -0.1544727E+00   -0.1543659E+00
 9.100   -0.1109965E+00   -0.1108114E+00   -0.1106705E+00   -0.1106139E+00   -0.1103795E+00   -0.1102828E+00
 9.200   -0.2441440E-01   -0.2424690E-01   -0.2411942E-01   -0.2406823E-01   -0.2385607E-01   -0.2376861E-01
 9.300    0.7151768E-01    0.7166924E-01    0.7178459E-01    0.7183091E-01    0.7202288E-01    0.7210202E-01
 9.400    0.1401546E+00    0.1402917E+00    0.1403961E+00    0.1404380E+00    0.1406117E+00    0.1406833E+00
 9.500    0.1552773E+00    0.1554014E+00    0.1554958E+00    0.1555337E+00    0.1556909E+00    0.1557557E+00
 9.600    0.1111075E+00    0.1112197E+00    0.1113052E+00    0.1113395E+00    0.1114817E+00    0.1115403E+00
 9.700    0.2451478E-01    0.2461637E-01    0.2469369E-01    0.2472474E-01    0.2485343E-01    0.2490647E-01
 9.800   -0.7142686E-01   -0.7133493E-01   -0.7126497E-01   -0.7123688E-01   -0.7112044E-01   -0.7107244E-01
 9.900   -0.1400724E+00   -0.1399892E+00   -0.1399259E+00   -0.1399005E+00   -0.1397952E+00   -0.1397517E+00
10.000   -0.1552029E+00   -0.1551277E+00   -0.1550704E+00   -0.1550474E+00   -0.1549520E+00   -0.1549127E+00
